"","ID","number_of_total_atoms","atoms_10","atoms_20","atoms_30","atoms_40","atoms_60","atoms_80","spacegroup","Spacegroup_12","Spacegroup_33","Spacegroup_167","Spacegroup_194","Spacegroup_206","Spacegroup_227","percent_atom_al","percent_atom_ga","percent_atom_in","lattice_vector_1_ang","lattice_vector_2_ang","lattice_vector_3_ang","lattice_angle_alpha_degree","lattice_angle_beta_degree","lattice_angle_gamma_degree","formation_energy_ev_natom_log_y_plus_1","bandgap_energy_ev_log_y_plus_1","Aluminum","Gallium","Indium"
"1",1,80,0,0,0,0,0,1,33,0,1,0,0,0,0,0.625,0.375,0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,0.0657877405380032,1.49036154077916,1,1,0
"2",2,40,0,0,0,1,0,0,227,0,0,0,0,0,1,0.8125,0.1875,0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,0.167292517774194,1.32010113838509,1,1,0
"3",3,30,0,0,1,0,0,0,167,0,0,1,0,0,0,0.75,0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.196553139040679,1.46999192014146,1,0,1
"4",4,80,0,0,0,0,0,1,194,0,0,0,1,0,0,0,0.625,0.375,6.6614,6.6612,24.5813,89.996,90.0006,119.9893,0.049266241302918,0.866806326775246,0,1,1
"5",5,40,0,0,0,1,0,0,227,0,0,0,0,0,1,0.5625,0.4375,0,9.8456,5.7176,14.1244,91.1235,91.3033,30.573,0.199588291692673,1.15161578649041,1,1,0
"6",6,80,0,0,0,0,0,1,194,0,0,0,1,0,0,0.4062,0.5938,0,6.252,6.252,23.7931,90.0172,89.9994,119.9997,0.181821431752272,1.25809160321343,1,1,0
"7",7,60,0,0,0,0,1,0,167,0,0,1,0,0,0,0.5833,0.4167,0,9.8307,4.915,13.3346,89.9909,90.0103,120.0011,0.056474846927979,1.58356610486653,1,1,0
"8",8,80,0,0,0,0,0,1,194,0,0,0,1,0,0,0.5938,0.4062,0,6.1935,6.1934,23.6522,90.0189,89.998,120.0021,0.23031775506221,1.35596401131206,1,1,0
"9",9,40,0,0,0,1,0,0,33,0,1,0,0,0,0,0.8125,0.1875,0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015,0.0521179542621068,1.59003080690887,1,1,0
"10",10,80,0,0,0,0,0,1,206,0,0,0,0,1,0,0.125,0.875,0,9.3513,9.3512,9.3507,90.0059,90.0051,89.9933,0.0751074724868055,1.26330718237104,1,1,0
"11",11,80,0,0,0,0,0,1,12,1,0,0,0,0,0,0.4375,0.1875,0.375,24.3679,6.2545,6.1721,89.9997,104.8418,90.0001,0.153579087928301,0.949802874406603,1,1,1
"12",12,80,0,0,0,0,0,1,194,0,0,0,1,0,0,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.003,120.0051,0.226657370614006,1.19128262350942,1,1,1
"13",13,80,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0.4062,0.5938,24.765,6.5014,6.486,90.0003,105.241,90,0.0490758376465926,0.781341191295862,0,1,1
"14",14,30,0,0,1,0,0,0,167,0,0,1,0,0,0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.175548672506526,1.27172490637675,1,1,1
"15",15,20,0,1,0,0,0,0,12,1,0,0,0,0,0,0.25,0.25,0.5,12.2649,3.1889,6.3388,90,105.0943,90.0001,0.187557823589201,0.939850996283168,1,1,1
"16",16,30,0,0,1,0,0,0,167,0,0,1,0,0,0,0.5833,0.4167,0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0550562057480784,1.60323873719128,1,1,0
"17",17,30,0,0,1,0,0,0,167,0,0,1,0,0,0,0.6667,0,0.3333,5.0674,5.0672,13.6668,89.9903,90.0102,120.0016,0.184569029334434,1.36409987561012,1,0,1
"18",18,80,0,0,0,0,0,1,194,0,0,0,1,0,0,0.1562,0.5625,0.2812,6.5405,6.5403,24.3429,90.0046,90.0031,119.9922,0.243181445050717,0.77982933669567,1,1,1
"19",19,40,0,0,0,1,0,0,227,0,0,0,0,0,1,0.4375,0.25,0.3125,6.0436,6.0427,14.2577,90.0159,90.0033,120.0023,0.301437037684117,0.681074599325676,1,1,1
"20",20,80,0,0,0,0,0,1,12,1,0,0,0,0,0,0.0938,0.5,0.4062,24.717,6.3698,6.2742,90.0001,104.8049,90.0001,0.173785225771668,0.765281778319144,1,1,1
"21",21,80,0,0,0,0,0,1,206,0,0,0,0,1,0,0.8125,0.0312,0.1562,9.2018,9.2011,9.2015,90.002,90.003,89.9991,0.19111610447545,1.47985300788541,1,1,1
"22",22,80,0,0,0,0,0,1,194,0,0,0,1,0,0,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,0.282845394560254,0.934523500135215,1,1,1
"23",23,40,0,0,0,1,0,0,33,0,1,0,0,0,0,0.5625,0,0.4375,5.2334,8.9433,9.5725,90.0037,90.0005,90.0006,0.210422986904829,1.13988218286633,1,0,1
"24",24,80,0,0,0,0,0,1,12,1,0,0,0,0,0,0.5938,0.2188,0.1875,24.2551,6.1051,5.9477,89.9995,104.3985,90.0002,0.13706265038834,1.2371270768581,1,1,1
"25",25,80,0,0,0,0,0,1,206,0,0,0,0,1,0,0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.003,89.9955,0.118582715826948,0.860016632794978,0,1,1
"26",26,80,0,0,0,0,0,1,12,1,0,0,0,0,0,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,89.9998,104.4804,90.0001,0.101111501368411,1.09051291041146,1,1,1
